workload1,idx1,workload2,idx2,workload3,idx3,workload4,idx4,w1_Threads,w1_Compute (SM) Throughput,w1_DRAM Throughput,w1_Memory Throughput,w1_Registers,w1_Static Shared Memory,w2_Threads,w2_Compute (SM) Throughput,w2_DRAM Throughput,w2_Memory Throughput,w2_Registers,w2_Static Shared Memory,w3_Threads,w3_Compute (SM) Throughput,w3_DRAM Throughput,w3_Memory Throughput,w3_Registers,w3_Static Shared Memory,w4_Threads,w4_Compute (SM) Throughput,w4_DRAM Throughput,w4_Memory Throughput,w4_Registers,w4_Static Shared Memory,w1throughput,w2throughput,w3throughput,w4throughput,w1exclusive_throughput,w1sm%,w1mem%,w1memcap,w2exclusive_throughput,w2sm%,w2mem%,w2memcap,w3exclusive_throughput,w3sm%,w3mem%,w3memcap,w4exclusive_throughput,w4sm%,w4mem%,w4memcap
albert-base-v2_batch4-train,0,bert-base-cased_batch2-inf,11,bert-base-cased_batch4-train,13,vit_h_14_batch2-train,15,685983.1568651632,64.48368487776888,37.28726363229031,63.330108912994525,22368539.615330108,10949.755000511814,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,183316.888392316,44.95736442315827,46.30171509953436,72.30406066464882,9279376.251384592,6320.710134302391,11.346954969252131,24.657602346449256,7.911151681119732,1.745496860529952,30.647469899806342,86.28571428571429,44.35714285714285,3.7,84.1300191204589,92.5,40.0,1.2,30.040439052570765,88.5,44.0,5.0,6.908856242645105,97.51923076923076,47.9423,14.3
bert-base-cased_batch8-inf,1,bert-base-cased_batch4-train,13,vit-base-patch16-224_batch4-inf,20,vit-base-patch16-224_batch4-inf,20,321403.49372387805,68.94063933472631,16.380971505511898,69.15212811160453,16463690.915910697,7439.555750717122,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,43584.56765253923,74.43039606848205,9.029113755049243,51.454481563888095,3079392.3336836253,2025.5182020959264,43584.56765253923,74.43039606848205,9.029113755049243,51.454481563888095,3079392.3336836253,2025.5182020959264,64.93155840649315,7.605534784137028,27.43927307133885,27.38525933256542,98.34844157456848,96.0,38.0,1.4,30.040439052570765,88.5,44.0,5.0,79.63644232850032,19.75,3.375,1.4,79.63644232850032,19.75,3.375,1.4
albert-base-v2_batch2-train,4,bert-base-cased_batch4-train,13,bert-base-cased_batch2-train,14,vit_h_14_batch8-train,19,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,5.166746175121935,6.598572052276167,3.2892758625197738,5.64530858252943,25.6782694402656,97.0,43.0,2.3,30.040439052570765,88.5,44.0,5.0,23.23807288304677,97.27272727272728,47.76623376623377,3.1,9.500815660685156,96.99371069182388,32.52201,17.4
whisper-large-v2_batch4-inf,5,bert-base-cased_batch4-train,13,bert-base-cased_batch4-inf,17,bert-base-cased_batch4-inf,17,2428812.960946929,30.963804110653168,50.16302369534679,58.82670969280903,50940328.17181209,1033.1054901498949,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,217622.4712334954,78.80351912036174,17.214351437392803,56.13650827764744,17040137.037258748,12597.245845869153,217622.4712334954,78.80351912036174,17.214351437392803,56.13650827764744,17040137.037258748,12597.245845869153,1.721340135017617,3.8236379937767,26.62622629608256,26.39087492933391,3.6181823603669874,83.10526315789474,28.359649122807017,9.0,30.040439052570765,88.5,44.0,5.0,101.76991150442475,56.57142857142857,24.571428571428573,1.4,101.76991150442475,56.57142857142857,24.571428571428573,1.4
bert-base-cased_batch2-inf,11,bert-base-cased_batch2-inf,11,bert-base-cased_batch4-train,13,bert-base-cased_batch4-inf,17,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,217622.4712334954,78.80351912036174,17.214351437392803,56.13650827764744,17040137.037258748,12597.245845869153,21.731034633836448,21.761305678340698,5.612621972772357,41.27604166666667,84.1300191204589,92.5,40.0,1.2,84.1300191204589,92.5,40.0,1.2,30.040439052570765,88.5,44.0,5.0,101.76991150442475,56.57142857142857,24.571428571428573,1.4
albert-base-v2_batch4-train,0,albert-base-v2_batch4-train,0,bert-base-cased_batch4-train,13,vit-base-patch16-224_batch4-inf,20,685983.1568651632,64.48368487776888,37.28726363229031,63.330108912994525,22368539.615330108,10949.755000511814,685983.1568651632,64.48368487776888,37.28726363229031,63.330108912994525,22368539.615330108,10949.755000511814,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,43584.56765253923,74.43039606848205,9.029113755049243,51.454481563888095,3079392.3336836253,2025.5182020959264,10.91955291641833,11.21681935635424,7.709556700489721,29.9105998703472,30.647469899806342,86.28571428571429,44.35714285714285,3.7,30.647469899806342,86.28571428571429,44.35714285714285,3.7,30.040439052570765,88.5,44.0,5.0,79.63644232850032,19.75,3.375,1.4
albert-base-v2_batch8-train,8,bert-base-cased_batch4-train,13,bert-base-cased_batch2-train,14,bert-base-cased_batch2-train,14,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,190287.54368530755,50.355027213149135,39.03476297296079,70.42541520673052,11074376.322716216,8536.651206481605,18.372989295555303,7.035920838919703,3.5394859384398853,3.54191811345279,29.67588370763072,97.38028169014083,46.74647887323944,6.6,30.040439052570765,88.5,44.0,5.0,23.23807288304677,97.27272727272728,47.76623376623377,3.1,23.23807288304677,97.27272727272728,47.76623376623377,3.1
albert-base-v2_batch8-train,8,bert-base-cased_batch2-inf,11,bert-base-cased_batch4-train,13,vit_h_14_batch8-train,19,2011555.2744192549,48.32407816574221,50.96574818117043,78.11175775979989,42373993.86889671,8963.297179442388,210588.1095979778,73.11711703442735,15.196149452714376,63.87781954030234,14134984.63908432,13218.430422937075,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,496067.9989140645,33.65768151737584,59.00252471417957,78.60977177747729,16690912.72524413,3652.032077044045,12.626803404160816,15.975650017312324,4.223456302541328,3.7702986527329534,29.67588370763072,97.38028169014083,46.74647887323944,6.6,84.1300191204589,92.5,40.0,1.2,30.040439052570765,88.5,44.0,5.0,9.500815660685156,96.99371069182388,32.52201,17.4
albert-base-v2_batch2-train,4,bert-base-cased_batch4-train,13,bert-base-cased_batch4-train,13,bert-base-cased_batch4-inf,17,411285.4853574395,58.4276542042436,34.26425178992512,68.37910891218571,15451966.342910131,11099.815030370692,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,217622.4712334954,78.80351912036174,17.214351437392803,56.13650827764744,17040137.037258748,12597.245845869153,5.74639793805721,6.809730746830339,6.83233974144283,43.96675900277008,25.6782694402656,97.0,43.0,2.3,30.040439052570765,88.5,44.0,5.0,30.040439052570765,88.5,44.0,5.0,101.76991150442475,56.57142857142857,24.571428571428573,1.4
wav2vec2-base-960h_batch2-inf,2,whisper-large-v2_batch4-inf,5,whisper-large-v2_batch2-inf,6,bert-base-cased_batch4-train,13,433609.84467992425,57.0700600941506,17.092804399867166,53.26075574181553,16058013.73841052,15230.693561487396,2428812.960946929,30.963804110653168,50.16302369534679,58.82670969280903,50940328.17181209,1033.1054901498949,407273.6437354477,71.71888252706013,17.28196639963645,63.66662208308519,15566445.000576952,10410.317650169076,202877.87458589143,62.17029968038945,32.46693180388916,62.11071459021719,14356643.992701104,9647.151369615414,16.96917808219178,1.8828592562705937,1.5668039726062015,7.982418470710082,17.806821914492676,17.464285714285715,5.428571428571429,3.9,3.6181823603669874,83.10526315789474,28.359649122807017,9.0,1.7085028704506966,37.63403263403264,16.834498834498834,8.3,30.040439052570765,88.5,44.0,5.0
